clean_text_current_name,confidence,course_type_id,current_name,detected_agency,edit_url,proposed_official_clean_name,skip_reason,source_reason,status,﻿course_type_id
"CPR / AED & First AidFirst Aid CPR AED trains anyone with little or no medical training to provide first aid, CPR, and use an automated external defibrillator (AED) in a safe, timely, and effective manner.",low,,"CPR / AED & First AidFirst Aid CPR AED trains anyone with little or no medical training to provide first aid, CPR, and use an automated external defibrillator (AED) in a safe, timely, and effective manner.",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428963,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,428963
AHA Heartsaver® Primeros Auxilios con RCP y DEA - BlendedCurso en línea + sesión práctica presencial (en español),low,,AHA Heartsaver® Primeros Auxilios con RCP y DEA - BlendedCurso en línea + sesión práctica presencial (en español),AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=438230,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,438230
ARC Adult First Aid CPR AED - BlendedOnline course + in-person skills session for workplace certification,low,,ARC Adult First Aid CPR AED - BlendedOnline course + in-person skills session for workplace certification,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=437967,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,437967
AHA Heartsaver® Primeros Auxilios RCP DEA - En Español (Presencial)Clase completamente en español con instructor y materiales en español,low,,AHA Heartsaver® Primeros Auxilios RCP DEA - En Español (Presencial)Clase completamente en español con instructor y materiales en español,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252731,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,252731
"AHA Heartsaver First Aid CPR AEDIn-person training for workplace, OSHA, and general public certification",low,,"AHA Heartsaver First Aid CPR AEDIn-person training for workplace, OSHA, and general public certification",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=355327,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,355327
ARC Adult CPR AED - BlendedOnline course + in-person skills session for workplace and general certification,medium,,ARC Adult CPR AED - BlendedOnline course + in-person skills session for workplace and general certification,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=372258,American Red Cross Adult CPR/AED,official agency naming pattern matched,Red Cross Adult CPR/AED naming inferred from Red Cross course family; no high-confidence apply unless exact family is obvious.,skipped,372258
AHA Heartsaver K-12 - In-person 🚌Instructor-led CPR AED and First Aid training for schools and students,low,,AHA Heartsaver K-12 - In-person 🚌Instructor-led CPR AED and First Aid training for schools and students,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=396266,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,396266
HSI Primeros Auxilios Pediátricos | RCP y DEA - BlendedCurso en línea + sesión práctica en persona,low,,HSI Primeros Auxilios Pediátricos | RCP y DEA - BlendedCurso en línea + sesión práctica en persona,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=437443,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,437443
USCG Elementary First Aid | CPR (AHA Heartsaver®)Meets U.S. Coast Guard Maritime Requirements (AMERHA-216),low,,USCG Elementary First Aid | CPR (AHA Heartsaver®)Meets U.S. Coast Guard Maritime Requirements (AMERHA-216),,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=253768,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,253768
USCG Elementary First Aid | CPR - Blended (Online + Skills)AHA Heartsaver® | Meets Maritime Requirements (AMERHA-216),low,,USCG Elementary First Aid | CPR - Blended (Online + Skills)AHA Heartsaver® | Meets Maritime Requirements (AMERHA-216),,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=359827,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,359827
"CPR / AED Only First Aid CPR AED trains anyone with little or no medical training to provide first aid, CPR, and use an AED in a safe, timely, and effective manner.",low,,"CPR / AED Only First Aid CPR AED trains anyone with little or no medical training to provide first aid, CPR, and use an AED in a safe, timely, and effective manner.",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428964,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,428964
Infant CPR & Choking Relief Class,low,,Infant CPR & Choking Relief Class,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463081,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,463081
AHA - Heartsaver® CPR AED - In-person 🚒,low,,AHA - Heartsaver® CPR AED - In-person 🚒,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=460465,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,460465
AHA - Family & Friends® CPR,low,,AHA - Family & Friends® CPR,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252737,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,252737
AHA - RCP para Familiares y Amigos,low,,AHA - RCP para Familiares y Amigos,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209817,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,209817
HSI Adult CPR AEDTraditional Classroom,low,,HSI Adult CPR AEDTraditional Classroom,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=450672,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,450672
"HSI Adult/Child/Infant CPR AED | Blended LearningBlended Learning with In-Person, Instructor-Led Skills Session",low,,"HSI Adult/Child/Infant CPR AED | Blended LearningBlended Learning with In-Person, Instructor-Led Skills Session",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=375428,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,375428
HSI Adult/Child/Infant CPR AEDTraditional Classroom,low,,HSI Adult/Child/Infant CPR AEDTraditional Classroom,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=375426,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,375426
"CPR / AED / First Aid (On-site; Group Class) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",low,,"CPR / AED / First Aid (On-site; Group Class) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=385208,,private/internal/admin/group/specialty row,private/internal/admin/group/specialty row,skipped,385208
"Instructor Programs Become an instructor and teach CPR, First Aid, or BLS through AHA, HSI, or Red Cross.",low,,"Instructor Programs Become an instructor and teach CPR, First Aid, or BLS through AHA, HSI, or Red Cross.",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428966,,instructor course,instructor course,skipped,428966
AHA Instructor AlignmentTransfer or add alignment with First Responder Advantage Training Center,low,,AHA Instructor AlignmentTransfer or add alignment with First Responder Advantage Training Center,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=448931,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,448931
2025 AHA Instructor Update,low,,2025 AHA Instructor Update,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463119,,instructor course,instructor course,skipped,463119
AHA - Heartsaver® - Become an American Heart Association Instructor,low,,AHA - Heartsaver® - Become an American Heart Association Instructor,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=265876,,instructor course,instructor course,skipped,265876
AHA - BLS - Become an American Heart Association Instructor,low,,AHA - BLS - Become an American Heart Association Instructor,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=253588,,instructor course,instructor course,skipped,253588
AHA - BLS Instructor Renewal,low,,AHA - BLS Instructor Renewal,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410205,,instructor course,instructor course,skipped,410205
AHA - ACLS - Become an American Heart Association Instructor,low,,AHA - ACLS - Become an American Heart Association Instructor,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=286954,,instructor course,instructor course,skipped,286954
AHA - ACLS Instructor Renewal,low,,AHA - ACLS Instructor Renewal,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410206,,instructor course,instructor course,skipped,410206
AHA - PALS - Become an American Heart Association Instructor,low,,AHA - PALS - Become an American Heart Association Instructor,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=374072,,instructor course,instructor course,skipped,374072
AHA - PALS Instructor Renewal,low,,AHA - PALS Instructor Renewal,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410207,,instructor course,instructor course,skipped,410207
"AHA - BLS, ACLS & PALS - Become an American Heart Association Instructor",low,,"AHA - BLS, ACLS & PALS - Become an American Heart Association Instructor",,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=438234,,instructor course,instructor course,skipped,438234
Other Programs,low,,Other Programs,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428965,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,428965
Cardiac and Pulmonary Dissection with 12-Lead ECG,low,,Cardiac and Pulmonary Dissection with 12-Lead ECG,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=403786,,specialty/rare/ambiguous course,specialty/rare/ambiguous course,skipped,403786
OSHA - Fall Protection Awareness,low,,OSHA - Fall Protection Awareness,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=387919,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,387919
OSHA - Back Safety / Safe Lifting,low,,OSHA - Back Safety / Safe Lifting,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=387917,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,387917
OSHA 10 | 3010 or 30 | General Industry or Construction |English or Spanish,low,,OSHA 10 | 3010 or 30 | General Industry or Construction |English or Spanish,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=431233,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,431233
STOP THE BLEED®,low,,STOP THE BLEED®,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=344486,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,344486
AED Maintenance Program... an easy-to-understand and even simpler-to-implement plan to get an AED in your facility...,low,,AED Maintenance Program... an easy-to-understand and even simpler-to-implement plan to get an AED in your facility...,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252838,,private/internal/admin/group/specialty row,private/internal/admin/group/specialty row,skipped,252838
z Personal Event - Not Availible,low,,z Personal Event - Not Availible,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=280576,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,280576
C̯͍̖̠̦̍ͩ̋́͗A̘͈͎̅̚R̐D̗I̙̪̎O̻̺͍̣̬ͬ͋̓P͑͒̆̑̄A̯͇̔̓͂R̬̙͈̗̭̍̊̉Ť͔̭͍̓̓ͭN͍̰̬͖̈E͍͙ͩ̇̎̃R̗̳̹͎̺S̻ͅ ̣̬̃̊͊̽ͫ,low,,C̯͍̖̠̦̍ͩ̋́͗A̘͈͎̅̚R̐D̗I̙̪̎O̻̺͍̣̬ͬ͋̓P͑͒̆̑̄A̯͇̔̓͂R̬̙͈̗̭̍̊̉Ť͔̭͍̓̓ͭN͍̰̬͖̈E͍͙ͩ̇̎̃R̗̳̹͎̺S̻ͅ ̣̬̃̊͊̽ͫ,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=261161,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,261161
H̹̼̲̳͉̋̍ͨͭ̔E̞̩̜͑̾̓͆A͉̹͕͆ͣ̄ͤ̚R̞̠ͫͦT̤̠̯̦̜ͪ̽̾̈́̎ S̪̦̘̺ͮ͋̏̚A̜̘͍̤͗͌ͩ̄V͕͙̻̝̏̋̈͒ͦE̬̳̤̾ͯ̓R̪̞̳̲̝̓ͣ͗̔ I̠̳̠̠̘̎ͨ̂̚N̦̺͛ͬͩͨ̚S̺̖̑ͨT̞̬̤̯̄̽̇̿ͨI̗͕ͩ̂͌ͬT͉̤̖̋͑͂U̳͇͚̎̓̅T̠̩̓̎̎̚E̙̟̼̹ͯ̏̉,low,,H̹̼̲̳͉̋̍ͨͭ̔E̞̩̜͑̾̓͆A͉̹͕͆ͣ̄ͤ̚R̞̠ͫͦT̤̠̯̦̜ͪ̽̾̈́̎ S̪̦̘̺ͮ͋̏̚A̜̘͍̤͗͌ͩ̄V͕͙̻̝̏̋̈͒ͦE̬̳̤̾ͯ̓R̪̞̳̲̝̓ͣ͗̔ I̠̳̠̠̘̎ͨ̂̚N̦̺͛ͬͩͨ̚S̺̖̑ͨT̞̬̤̯̄̽̇̿ͨI̗͕ͩ̂͌ͬT͉̤̖̋͑͂U̳͇͚̎̓̅T̠̩̓̎̎̚E̙̟̼̹ͯ̏̉,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=432156,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,432156
AHA - BLS Provider - RenewalInstructor-led Classroom program for BLS Renewal,low,,AHA - BLS Provider - RenewalInstructor-led Classroom program for BLS Renewal,,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209814,,$0 placeholder/legacy/internal risk,$0 placeholder/legacy/internal risk,skipped,209814
HSI Adult First Aid | Blended LearningOnline Coursework with In-Person Skills Testing,low,,HSI Adult First Aid | Blended LearningOnline Coursework with In-Person Skills Testing,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=473114,,no authoritative official-name mapping,no authoritative official-name mapping,skipped,473114
ARC - Adult and Pediatric CPR/AED Skills Session,medium,,ARC - Adult and Pediatric CPR/AED Skills Session,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=481321,American Red Cross Adult CPR/AED,official agency naming pattern matched,Red Cross Adult CPR/AED naming inferred from Red Cross course family; no high-confidence apply unless exact family is obvious.,skipped,481321
ARC BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers,high,444919,ARC BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=444919,American Red Cross Basic Life Support,challenge/assessment-only variant; not renamed in pilot after failed save,Red Cross BLS page: https://www.redcross.org/take-a-class/bls identifies Basic Life Support training.,skipped,
HSI BLS and Adult First Aid | Blended LearningOnline coursework with in-person skills testing,high,445670,HSI BLS and Adult First Aid | Blended LearningOnline coursework with in-person skills testing,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=445670,HSI Basic Life Support,composite HSI BLS plus Adult First Aid title; proposed single official name was too lossy,"HSI program pages list First Aid | CPR AED, Pediatric First Aid | CPR AED, and Basic Life Support (BLS): https://hsi.com/solutions/cpr-aed-first-aid-training/programs",skipped,
HSI BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers ready to test out,high,463743,HSI BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers ready to test out,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463743,HSI Basic Life Support,challenge/assessment-only variant; not renamed in pilot after failed save,"HSI program pages list First Aid | CPR AED, Pediatric First Aid | CPR AED, and Basic Life Support (BLS): https://hsi.com/solutions/cpr-aed-first-aid-training/programs",skipped,
"BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",high,440431,"BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=440431,AHA BLS Provider,group/on-site private offering; exclude from pilot,"AHA healthcare/course catalog pages list BLS Provider, ACLS Provider, and PALS course options.",skipped,
American Heart Association Pediatric Advanced Life Support (PALS) Plus™ - HeartCode® (Online + Skills Session)Complete HeartCode PALS and 6 advanced modules before in-person skills testing,high,380688,American Heart Association Pediatric Advanced Life Support (PALS) Plus™ - HeartCode® (Online + Skills Session)Complete HeartCode PALS and 6 advanced modules before in-person skills testing,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=380688,AHA HeartCode PALS,PALS Plus specialty variant; official simplification would be lossy,"AHA HeartCode page: https://cpr.heart.org/en/cpr-courses-and-kits/healthcare-professional/aha-heartcode lists HeartCode BLS, HeartCode ACLS, HeartCode PALS.",skipped,
